,Profit
1,-288.77
3,-96.54
16,-2.52
30,-148.46
40,-77.2
65,-27.83
73,-452.81
76,-264.0
83,-58.72
85,-269.79
91,-6.42
93,-21.16
98,-0.05
109,-2211.17
111,-1783.08
117,-12.53
123,-37.83
124,-265.76
126,-73.05
137,-286.92
148,-214.73
150,-1784.9
167,-128.72
169,-0.02
170,-36.39
172,-0.02
174,-740.3
182,-754.41
188,-140.72
193,-127.58
197,-13.76
199,-11.93
203,-84.37
208,-332.28
209,-6.21
231,-42.95
232,-35.36
245,-2750.28
254,-221.57
259,-6.3
263,-225.16
275,-11.16
279,-1268.04
286,-412.62
289,-1331.65
290,-44.2
293,-348.52
298,-139.56
304,-870.3
312,-2.12
314,-244.25
316,-35.09
324,-483.3
325,-63.65
335,-50.98
336,-76.57
344,-3.79
346,-258.5
349,-13.92
350,-218.3
352,-3.17
353,-0.22
358,-2.76
362,-3009.44
368,-130.39
381,-417.81
382,-129.73
389,-95.7
393,-1303.06
399,-0.07
418,-3.24
424,-189.46
439,-204.45
451,-0.02
457,-191.16
469,-128.75
489,-28.87
491,-458.19
495,-993.2
501,-16.96
503,-111.6
512,-3059.82
518,-84.45
519,-18.18
526,-1023.03
531,-98.21
534,-953.44
538,-13.94
547,-127.41
554,-2.52
558,-51.3
563,-264.22
566,-776.33
568,-25.91
586,-30.16
589,-207.84
594,-9.49
596,-56.11
606,-7.17
608,-113.36
614,-8.46
616,-68.72
618,-8.11
621,-238.03
622,-103.61
626,-0.63
629,-597.68
631,-133.73
640,-102.41
642,-134.06
643,-1806.24
673,-576.91
679,-112.75
695,-1128.44
697,-487.37
708,-13.99
711,-36.08
716,-0.12
725,-571.32
727,-1172.74
734,-53.37
741,-689.26
745,-706.25
751,-599.94
755,-1.07
758,-2.92
762,-1558.15
771,-880.96
773,-295.51
775,-690.54
780,-1021.67
787,-407.14
791,-886.05
800,-445.11
811,-81.81
815,-5.85
817,-0.03
818,-8.58
821,-396.43
825,-1294.35
827,-326.97
831,-96.96
832,-495.63
835,-53.01
840,-1736.28
846,-152.49
850,-0.13
855,-447.18
856,-813.49
862,-0.19
863,-195.44
864,-204.31
866,-169.37
867,-128.88
869,-60.27
870,-7.1
877,-5.45
878,-63.76
883,-25.65
887,-110.52
891,-88.2
896,-29.66
903,-136.26
912,-1479.13
927,-623.94
937,-486.47
951,-0.05
958,-632.8
960,-135.14
969,-147.52
983,-53.89
984,-8.37
988,-127.46
995,-821.96
999,-76.56
